Sl.No,SKU,CAR DETAILS AND PART NAME,PART NO,Ebay Price 
1,BLKU283,Bentley Bentayga36B8570591dashboard trim bezel GENUINE USED,36B857059,194
2,BLKU291,Passat Alltrack B7 (2012–2014)3AA857552J3H81Illuminated vanity mirror with cover GENUINE USED,3AA857552J3H8,48.5
3,BLKU340,Porsche Cayenne 2011–20177P5.819.727.A1center console on the left side GENUINE USED,7P5.819.727.A,42.68
4,BLKU391,Porsche Cayenne 2010 to 20147PP.907.530.Q1Gateway Control Module  GENUINE USED,7PP.907.530.Q,38.8
5,BLKU408,Bentley Continental GT/GTC and Flying Spur from ~2004–20123W0?819?3571Bentley dashboard air vent nozzle GENUINE USED,3W0?819?357,80.03
6,BLKU438,Flying Spur models from the 2003–20173W3?945?703?B1rear LED fog & reversing lamp assembly GENUINE USED,3W3?945?703?B,460.75
7,BLKU486,Volkswagen Touareg (7P)7PP.907.064.HF1radar sensor GENUINE USED,7PP.907.064.HF,177.99
8,BLKU487,Audi Q7 (4M): Model years 2016 and onwards4M0907064D1Comfort Control Module (BCM2 GENUINE USED,4M0907064D,242.5
9,BLKU495,Porsche Cayenne (958; 2011–20187PP?907?530?L1gateway (CAN?bus communication control module GENUINE USED,7PP?907?530?L,37.83
10,BLKU504,Maserati Ghibli (2014–2017)6700071741Engine Control Module (ECM) GENUINE USED,670007174,58.2
11,BLKU506,Maserati Quattroporte GTS M156 (2014–2017)670 007 494 1Suspension Control Module (SCM) GENUINE USED,670 007 494 ,86.18
12,BLKU507,Maserati Ghibli 2013–2023 08906-0051air vent grille nozzle GENUINE USED, 08906-005,22.3
13,BLKU509,Land Rover Range Rover Velar (L560)J8A2-14D617-CC 1Front Right Passenger Door Control Module GENUINE USED,J8A2-14D617-CC ,40.72
14,BLKU510,Audi A8  2011–20184H2 907 551 D1Engine Control Module (ECM) GENUINE USED,4H2 907 551 D,157.28
15,BLKU511,Audi TT 2006–20148J0 907 115 AC1Control Module (ECM)  GENUINE USED,8J0 907 115 AC,100.88
16,BLKU512,Porsche Panamera 	2013 5WP46543 041Engine Control Unit  GENUINE USED,5WP46543 04,327.03
17,BLKU513,Audi Q5 2013–2015 8R1 907 115 B1Engine Control Module (ECM) GENUINE USED,8R1 907 115 B,50.42
18,BLKU516,Audi A6  – 2019–20254NO 616 013A1Air suspension solenoid valve block  GENUINE USED,4NO 616 013A,90.2
19,BLKU517,Maserati Levante 2018–2020P 68376187AB1rear left door control module GENUINE USED,P 68376187AB,63.04
20,BLKU518,Maserati Levante – 2017–2020P 68376193AA1front left door control module GENUINE USED,P 68376193AA,94.08
21,BLKU519,Maserati Levante 2017–2023 P 68376192AB1front right door control module GENUINE USED, P 68376192AB,40
22,BLKU520,MASERATI GHBILI 2019 A2C753148141SPOT MONITOR SENSOR  GENUINE USED,670174821,193.99
23,BLKU522,"Porsche Panamera 2010–2016 970.618.143.021headlight,MODULE  GENUINE USED",970.618.143.02,48.49
24,BLKU524,Maserati Ghibli 2014–2020 P52851639AD1Front Right Door Control Module GENUINE USED,P52851639AD,56.25
25,BLKU528,Porsche Cayenne  20117P5 819 7041front right dashboard  GENUINE USED,7P5 819 704,35.44
26,BLKU529, Volkswagen Jetta 2012–2019 5C09596531steering angle sensor while allowing wheel rotation GENUINE USED,5C0959653,64.02
27,BLKU536,Audi A6 2012–20154GO 953568A1Steering Angle Sensing: GENUINE USED,4GO 953568A,119.79
28,BLKU537,"Volkswagen Passat B6 (2005–2010)
1K5.953.521.BR1Steering Angle Sensing: GENUINE USED",1K5.953.521.BR,58.19
29,BLKU540,AUDI A4 20138R0 953568 Q1Steering Angle Sensing: GENUINE USED,8R0 953568 Q,77.6
30,BLKU542,"Audi A8, S8, R8, RS7, S7 2011-2014 7PP 907 2831 Tire Pressure Monitoring System  GENUINE USED",7PP 907 283,14.54
31,BLKU545,"BMW MINI  (2017–2024)	6814180 1turn signal, wiper, and possibly cruise control functions.
 GENUINE USED",	6814180 ,87.6
32,BLKU550,Volkswagen Touareg 2010-20187P5.953507.DN1 Gateway Control Module GENUINE USED,7P5.953507.DN,87.29
33,BLKU551,"Audi A7 ) – 2011–2018
4G0 9535 568A1Steering Column Control Module (SCCM)  GENUINE USED",4G0 9535 568A,108.23
34,BLKU552,Volkswagen Touareg  2010–20187P5 953507 FE1Steering Column Switch Module GENUINE USED,7P5 953507 FE,115.47
35,BLKU555,"Porsche Cayenne 2003–2010
 7L5 953 549 C1Steering Column Control Module (SCCM) GENUINE USED", 7L5 953 549 C,184.41
36,BLKU558,AUDI A84H0 9071291Steering Column Control Module (SCCM) GENUINE USED,4H0 907129,121.25
37,BLKU560,Porsche Cayenne  2010–20187PP 907 279 .CG1Front Radar Sensor Control Unit GENUINE USED,7PP 907 279 .CG,212.33
38,BLKU561,"Porsche Panamera 2010–2016 
7PP 907064EN1Central gateway for body systems GENUINE USED",7PP 907064EN,246.6
39,BLKU562,Toyota Sequoia (2009–2019) 49930022301rear heater blower motor control module  GENUINE USED,4993002230,77.59
40,BLKU564,Audi A6 (2009–2015)4F0 907 283 1Tire Pressure Monitoring System (TPMS) Antenna GENUINE USED,4F0 907 283 ,16.49
41,BLKU567,Maserati Ghibli 20135PG15DX9AA1SWITCH  GENUINE USED,5PG15DX9AA,19.4
42,BLKU568,Audi  Q74M1 959 955 D1parking assist system GENUINE USED,4M1 959 955 D,45.43
43,BLKU570,PORSCHE CAYENNE7PP 959 729 L1Parking Aid Control Module GENUINE USED,7PP 959 729 L,42.32
