Category Tree,CategoryID
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Other Car & Truck Parts & Accessories,9886
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Accessory Belts/Belts,262060
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Accessory Belts/Idlers & Tensioners,262061
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Accessory Belts/Pulleys,262062
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Accessory Belts/Other Belt Parts,262063
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/ADAS Control Modules,262066
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/Alert & Warning Devices,262065
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/Cruise Control Components,38728
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/Lidar & Radar Sensors,262067
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/Parking Assistance,258037
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/Visible Cameras,262068
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Advanced Driver Assistance Systems/Other Advanced Driver Assistance Systems,262069
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Air Filters,33659
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Air Filter Housings,43946
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Air Intake & Fuel Sensors,33557
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Carburetors,33550
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Carburetor Parts,33551
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Fuel Filters,33660
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Fuel Injection Parts,262070
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Fuel Pumps & Sending Units,33555
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Fuel Tank Caps,262072
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Fuel Tanks & Filler Necks,33556
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Gaskets, Seals & O-Rings",33668
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Hoses, Lines & Pipes",173950
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Intake Manifolds,36474
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Throttle Bodies,33558
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Throttle Cables & Linkages,61259
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Turbos, Superchargers & Intercoolers",174107
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Vacuum Pumps,33626
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air & Fuel Delivery/Other Air & Fuel Delivery,42604
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Compressors & Clutches,33543
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Condensers,61864
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Evaporators,33547
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Expansion Valves,262074
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Hoses & Fittings,33544
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Pressure Switches,262075
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/A/C Receiver Dryers & Accumulators,262076
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/Blowers & Fans,262077
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/Cabin Air Filters,61117
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/Heater Control Valves,262080
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/Heater Cores,262081
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/HVAC Control Unit Parts,262082
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/HVAC Controls & Control Units,33545
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/HVAC Temperature Sensors,173863
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/HVAC Vent Actuators,262083
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Air Conditioning & Heating/Other Air Conditioning & Heating,46094
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/ABS & Stability Hydraulic Units,262084
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/ABS Control Modules,262085
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/ABS Speed Sensors,262086
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Additional ABS Parts,33560
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Boosters,174021
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Cables,33568
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Component Kits,173511
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Disc Rotors,33564
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Drums,33565
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Hoses, Lines & Fittings",33561
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Pads,57357
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Shoes,61739
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Pad & Shoe Hardware,262087
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Pad Wear Sensors,174020
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Additional Brake Sensors & Switches,262088
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Brake Relays,262089
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Calipers & Brackets,33563
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Master Cylinders,33566
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Rebuild Kits & Parts,262090
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Reservoirs & Caps,262091
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Wheel Cylinders,33571
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Wires, Cables & Connectors",262092
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Brakes & Brake Parts/Other Brake Parts,42605
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Air Conditioner Compressors",262093
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Batteries, BMS & Fuel Cells",262094
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Charging Units",262098
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Charging Components",262101
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Control Modules",177705
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Conversion Kits",177707
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Converters & Inverters",177706
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Cooling Components",262107
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Drivetrain Motors & Parts",262111
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/High Voltage Circuit Fuses & Breakers",262113
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Relays & Contactors",262114
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Switches",262115
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Wiring Harnesses, Cables & Connectors",262116
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Electric, Hybrid & PHEV Specific Parts/Other Electric, Hybrid & PHEV Specific Parts",177709
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Caps,262117
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Clamps & Hardware,262118
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Coolant Hoses,33601
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Engine Oil Coolers & Lines,46095
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Expansion & Overflow Tanks,174030
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Fan & Shroud Assemblies,33600
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Fan Blades,262119
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Fan Clutches,262120
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Fan Motors,262121
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Gaskets, Seals & O-Rings",262122
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Radiators,33602
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Temperature Sensors,262123
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Thermostats & Housings,33603
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Water Pumps,33604
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engine Cooling Components/Other Engine Cooling Components,46096
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Connecting Rods & Parts,262124
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Crankshafts,33616
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Cylinder Heads,33617
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Engines,33615
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Engine Bearings,33619
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Engine Blocks,33613
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Engine Mounts,50454
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Engine Rebuild Kits,33620
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Engine Sensors & Switches,262125
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Gaskets, Seals & Hardware",262126
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Oil Drain Plugs, Filler Caps & Dipsticks",33622
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Oil Filters,33661
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Oil Pumps & Parts,6778
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Oil Pans,38657
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Pistons & Rings,33623
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Service Kits,174087
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Timing Components & Kits,262130
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Valvetrain Components,262138
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Engines & Engine Parts/Other Engine Parts,61304
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Air Bypass Valves,33606
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Catalytic Converters,33629
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Clamps, Flanges, Hangers & Hardware",33634
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Diesel Exhaust Fluid System Parts,262142
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/EGR Parts & Valves,33607
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Emission Gaskets,261898
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Emissions Hardware & Components,262143
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Exhaust Gaskets,33666
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Exhaust Pipes & Tips,33633
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Exhaust System Kits,33630
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Fuel Vapor Canisters,261899
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Heat Shields, Wraps & Sleeves",174044
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Manifolds & Headers,33632
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Mufflers & Resonators,33636
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Oxygen Sensors,63276
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Particulate Filters,174028
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Secondary Air & Smog Pumps,33610
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Solenoids,261897
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Switches,262144
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exhaust & Emission Systems/Other Exhaust & Emission Parts,46097
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Antennas,33639
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Body Moldings & Trims,33654
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Bumpers & Components,262145
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Car & Truck Covers,50456
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Decals & Vinyls,50445
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Doors, Trunk Lids & Hatches",262147
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Emblems & Ornaments,33643
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Exterior Locks & Lock Hardware,33648
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Frame Rails & Subframes,262152
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Glass & Window Parts,33683
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Grilles,33645
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Guards & Protection,262153
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Hoods,262155
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Horns,262159
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/License Plates & Frames,52638
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Mounts, Brackets & Hardware",262164
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Panels,262165
"/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Roofs, Tops & Sunroofs",262169
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Running Boards & Step Bars,33650
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Side View Mirrors,262160
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Snow Plows & Parts,63688
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Spare Tire Carriers & Covers,262174
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Spoilers & Wings,33638
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Truck Beds & Parts,262175
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Wipers & Washers,174111
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Exterior Parts & Accessories/Other Exterior Parts & Accessories,14769
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Distributors,33690
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Distributor Caps,262180
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Distributor Rotors,262181
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Additional Distributor Parts,262182
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Glow Plugs,174070
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Ignition Coils,262183
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Ignition Condensers,262184
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Ignition Kits,33691
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Ignition Modules,262185
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Ignition Points,262186
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Ignition Wires & Coil Boots,33692
/eBay Motors/Parts & Accessories/Car & Truck Parts & Accessories/Ignition Systems & Components/Spark Plugs,174072
